location,year,sex,age,smoke,overweight
GBR,2003,female,65-69,0.169884562,0.695
GBR,2003,male,20-24,0.377345771,0.389
GBR,2003,male,25-29,0.367065072,0.528
GBR,2003,male,30-34,0.356227726,0.627
GBR,2003,male,35-39,0.309198201,0.679
GBR,2003,male,40-44,0.286548793,0.72
GBR,2003,male,45-49,0.275614887,0.717
GBR,2003,male,50-54,0.260840833,0.755
GBR,2003,male,55-59,0.226332247,0.758
GBR,2003,male,60-64,0.195976585,0.746
GBR,2003,male,65-69,0.172490299,0.753
GBR,2004,female,20-24,0.318743229,0.349
GBR,2004,female,25-29,0.302378595,0.42
GBR,2004,female,30-34,0.288753003,0.498
GBR,2004,female,35-39,0.269962877,0.513
GBR,2004,female,40-44,0.269455433,0.555
GBR,2004,female,45-49,0.249451295,0.585
GBR,2004,female,50-54,0.250303805,0.629
GBR,2004,female,55-59,0.23277542,0.648
GBR,2004,female,60-64,0.19351621,0.673
GBR,2004,female,65-69,0.165179506,0.69
GBR,2004,male,20-24,0.36055997,0.393
GBR,2004,male,25-29,0.359325677,0.529
GBR,2004,male,30-34,0.350480229,0.625
GBR,2004,male,35-39,0.301184565,0.683
GBR,2004,male,40-44,0.282802194,0.723
GBR,2004,male,45-49,0.266959488,0.721
GBR,2004,male,50-54,0.260039926,0.752
GBR,2004,male,55-59,0.217644602,0.759
GBR,2004,male,60-64,0.185820028,0.747
GBR,2004,male,65-69,0.162046969,0.752
GBR,2005,female,20-24,0.307446986,0.352
GBR,2005,female,25-29,0.291371584,0.423
GBR,2005,female,30-34,0.270477086,0.496
GBR,2005,female,35-39,0.266014129,0.518
GBR,2005,female,40-44,0.259351581,0.559
GBR,2005,female,45-49,0.246061876,0.59
GBR,2005,female,50-54,0.243771031,0.629
GBR,2005,female,55-59,0.22645539,0.649
GBR,2005,female,60-64,0.189915001,0.668
GBR,2005,female,65-69,0.159880236,0.685
GBR,2005,male,20-24,0.340677381,0.397
GBR,2005,male,25-29,0.352387011,0.53
GBR,2005,male,30-34,0.34286654,0.622
GBR,2005,male,35-39,0.294235975,0.687
GBR,2005,male,40-44,0.277010292,0.727
GBR,2005,male,45-49,0.25727281,0.728
GBR,2005,male,50-54,0.258577555,0.75
GBR,2005,male,55-59,0.210039526,0.761
GBR,2005,male,60-64,0.176381379,0.75
GBR,2005,male,65-69,0.152489364,0.753
GBR,2006,female,20-24,0.300239891,0.358
GBR,2006,female,25-29,0.281958848,0.427
GBR,2006,female,30-34,0.253707945,0.492
GBR,2006,female,35-39,0.260565609,0.526
GBR,2006,female,40-44,0.246745974,0.565
GBR,2006,female,45-49,0.240331829,0.595
GBR,2006,female,50-54,0.234018713,0.632
GBR,2006,female,55-59,0.219329074,0.654
GBR,2006,female,60-64,0.182449728,0.667
GBR,2006,female,65-69,0.154089779,0.683
GBR,2006,male,20-24,0.320455819,0.401
GBR,2006,male,25-29,0.34440577,0.532
GBR,2006,male,30-34,0.332232624,0.62
GBR,2006,male,35-39,0.288040012,0.691
GBR,2006,male,40-44,0.270526409,0.731
GBR,2006,male,45-49,0.245598614,0.736
GBR,2006,male,50-54,0.25404048,0.749
GBR,2006,male,55-59,0.203277811,0.764
GBR,2006,male,60-64,0.168452755,0.755
GBR,2006,male,65-69,0.144538775,0.756
GBR,2007,female,20-24,0.295302063,0.366
GBR,2007,female,25-29,0.273529112,0.431
GBR,2007,female,30-34,0.238772318,0.488
GBR,2007,female,35-39,0.251972198,0.536
GBR,2007,female,40-44,0.234446451,0.571
GBR,2007,female,45-49,0.234769732,0.601
GBR,2007,female,50-54,0.223192692,0.638
GBR,2007,female,55-59,0.211168543,0.661
GBR,2007,female,60-64,0.174404502,0.669
GBR,2007,female,65-69,0.147965461,0.683
GBR,2007,male,20-24,0.302793324,0.405
GBR,2007,male,25-29,0.335774928,0.533
GBR,2007,male,30-34,0.319910228,0.619
GBR,2007,male,35-39,0.282298058,0.695
GBR,2007,male,40-44,0.264339447,0.736
GBR,2007,male,45-49,0.235448271,0.744
GBR,2007,male,50-54,0.247217312,0.751
GBR,2007,male,55-59,0.199499562,0.767
GBR,2007,male,60-64,0.163431078,0.76
GBR,2007,male,65-69,0.139260933,0.76
GBR,2008,female,20-24,0.292523354,0.374
GBR,2008,female,25-29,0.26645872,0.436
GBR,2008,female,30-34,0.226143926,0.486
GBR,2008,female,35-39,0.240471274,0.546
GBR,2008,female,40-44,0.224639028,0.577
GBR,2008,female,45-49,0.231853127,0.606
GBR,2008,female,50-54,0.213702857,0.644
GBR,2008,female,55-59,0.203228652,0.669
GBR,2008,female,60-64,0.167598814,0.672
GBR,2008,female,65-69,0.143462211,0.683
GBR,2008,male,20-24,0.290621579,0.409
GBR,2008,male,25-29,0.328709066,0.532
GBR,2008,male,30-34,0.309789807,0.618
GBR,2008,male,35-39,0.277164698,0.699
GBR,2008,male,40-44,0.260430515,0.74
GBR,2008,male,45-49,0.229459941,0.751
GBR,2008,male,50-54,0.240287349,0.755
GBR,2008,male,55-59,0.200870663,0.769
GBR,2008,male,60-64,0.162589759,0.764
GBR,2008,male,65-69,0.137244105,0.762
GBR,2009,female,20-24,0.290183246,0.381
GBR,2009,female,25-29,0.260330528,0.443
GBR,2009,female,30-34,0.213699773,0.487
GBR,2009,female,35-39,0.228214338,0.553
GBR,2009,female,40-44,0.21867305,0.582
GBR,2009,female,45-49,0.231940523,0.611
GBR,2009,female,50-54,0.207095698,0.65
GBR,2009,female,55-59,0.196735233,0.674
GBR,2009,female,60-64,0.162422001,0.674
GBR,2009,female,65-69,0.142032698,0.683
GBR,2009,male,20-24,0.283106565,0.412
GBR,2009,male,25-29,0.32301122,0.529
GBR,2009,male,30-34,0.304155648,0.618
GBR,2009,male,35-39,0.271658301,0.701
GBR,2009,male,40-44,0.259050518,0.745
GBR,2009,male,45-49,0.227776513,0.757
GBR,2009,male,50-54,0.235015199,0.759
GBR,2009,male,55-59,0.207364738,0.77
GBR,2009,male,60-64,0.165519238,0.767
GBR,2009,male,65-69,0.138238683,0.764
GBR,2010,female,20-24,0.286056221,0.385
GBR,2010,female,25-29,0.252967924,0.451
GBR,2010,female,30-34,0.201637015,0.491
GBR,2010,female,35-39,0.216669485,0.559
GBR,2010,female,40-44,0.215526164,0.587
GBR,2010,female,45-49,0.232697219,0.614
